Date,Album,AlbumURL,AlbumImageURL,AlbumImageSource,Artist,ArtistURL
3/24/1945,King Cole Trio,/wiki/The_King_Cole_Trio_(album),http://upload.wikimedia.org/wikipedia/en/1/1a/TheKingColeTrio.jpg,,King Cole Trio,/wiki/King_Cole_Trio
3/31/1945,King Cole Trio,/wiki/The_King_Cole_Trio_(album),http://upload.wikimedia.org/wikipedia/en/1/1a/TheKingColeTrio.jpg,,King Cole Trio,/wiki/King_Cole_Trio
4/7/1945,King Cole Trio,/wiki/The_King_Cole_Trio_(album),http://upload.wikimedia.org/wikipedia/en/1/1a/TheKingColeTrio.jpg,,King Cole Trio,/wiki/King_Cole_Trio
4/14/1945,Song of Norway,/wiki/Song_of_Norway,http://cps-static.rovicorp.com/3/JPG_1080/MI0001/088/MI0001088807.jpg,http://www.allmusic.com/album/song-of-norway-original-broadway-cast-mw0000698057,Original Cast,
4/21/1945,King Cole Trio,/wiki/The_King_Cole_Trio_(album),http://upload.wikimedia.org/wikipedia/en/1/1a/TheKingColeTrio.jpg,,King Cole Trio,/wiki/King_Cole_Trio
4/28/1945,King Cole Trio,/wiki/The_King_Cole_Trio_(album),http://upload.wikimedia.org/wikipedia/en/1/1a/TheKingColeTrio.jpg,,King Cole Trio,/wiki/King_Cole_Trio
5/5/1945,Song of Norway,/wiki/Song_of_Norway,http://cps-static.rovicorp.com/3/JPG_1080/MI0001/088/MI0001088807.jpg,http://www.allmusic.com/album/song-of-norway-original-broadway-cast-mw0000698057,Original Cast,
5/12/1945,Glenn Miller,/wiki/Glenn_Miller_(1945_album),http://upload.wikimedia.org/wikipedia/en/2/2c/Glenn_Miller_1945_RCA_Album_P148.jpg,,Glenn Miller & His Orchestra,/wiki/Glenn_Miller
5/19/1945,Glenn Miller,/wiki/Glenn_Miller_(1945_album),http://upload.wikimedia.org/wikipedia/en/2/2c/Glenn_Miller_1945_RCA_Album_P148.jpg,,Glenn Miller & His Orchestra,/wiki/Glenn_Miller
5/19/1945,King Cole Trio,/wiki/The_King_Cole_Trio_(album),http://upload.wikimedia.org/wikipedia/en/1/1a/TheKingColeTrio.jpg,,King Cole Trio,/wiki/King_Cole_Trio
5/26/1945,King Cole Trio,/wiki/The_King_Cole_Trio_(album),http://upload.wikimedia.org/wikipedia/en/1/1a/TheKingColeTrio.jpg,,King Cole Trio,/wiki/King_Cole_Trio
6/2/1945,King Cole Trio,/wiki/The_King_Cole_Trio_(album),http://upload.wikimedia.org/wikipedia/en/1/1a/TheKingColeTrio.jpg,,King Cole Trio,/wiki/King_Cole_Trio
6/9/1945,King Cole Trio,/wiki/The_King_Cole_Trio_(album),http://upload.wikimedia.org/wikipedia/en/1/1a/TheKingColeTrio.jpg,,King Cole Trio,/wiki/King_Cole_Trio
6/16/1945,King Cole Trio,/wiki/The_King_Cole_Trio_(album),http://upload.wikimedia.org/wikipedia/en/1/1a/TheKingColeTrio.jpg,,King Cole Trio,/wiki/King_Cole_Trio
6/23/1945,King Cole Trio,/wiki/The_King_Cole_Trio_(album),http://upload.wikimedia.org/wikipedia/en/1/1a/TheKingColeTrio.jpg,,King Cole Trio,/wiki/King_Cole_Trio
6/30/1945,Glenn Miller,/wiki/Glenn_Miller_(1945_album),http://upload.wikimedia.org/wikipedia/en/2/2c/Glenn_Miller_1945_RCA_Album_P148.jpg,,Glenn Miller & His Orchestra,/wiki/Glenn_Miller
7/7/1945,Glenn Miller,/wiki/Glenn_Miller_(1945_album),http://upload.wikimedia.org/wikipedia/en/2/2c/Glenn_Miller_1945_RCA_Album_P148.jpg,,Glenn Miller & His Orchestra,/wiki/Glenn_Miller
7/14/1945,Glenn Miller,/wiki/Glenn_Miller_(1945_album),http://upload.wikimedia.org/wikipedia/en/2/2c/Glenn_Miller_1945_RCA_Album_P148.jpg,,Glenn Miller & His Orchestra,/wiki/Glenn_Miller
7/21/1945,Glenn Miller,/wiki/Glenn_Miller_(1945_album),http://upload.wikimedia.org/wikipedia/en/2/2c/Glenn_Miller_1945_RCA_Album_P148.jpg,,Glenn Miller & His Orchestra,/wiki/Glenn_Miller
7/28/1945,Glenn Miller,/wiki/Glenn_Miller_(1945_album),http://upload.wikimedia.org/wikipedia/en/2/2c/Glenn_Miller_1945_RCA_Album_P148.jpg,,Glenn Miller & His Orchestra,/wiki/Glenn_Miller
8/4/1945,King Cole Trio,/wiki/The_King_Cole_Trio_(album),http://upload.wikimedia.org/wikipedia/en/1/1a/TheKingColeTrio.jpg,,King Cole Trio,/wiki/King_Cole_Trio
8/11/1945,Glenn Miller,/wiki/Glenn_Miller_(1945_album),http://upload.wikimedia.org/wikipedia/en/2/2c/Glenn_Miller_1945_RCA_Album_P148.jpg,,Glenn Miller & His Orchestra,/wiki/Glenn_Miller
8/11/1945,Carousel,/wiki/Carousel_(musical),http://upload.wikimedia.org/wikipedia/en/8/88/Musical1945-Carousel-OriginalPoster.jpg,,Original Cast,
8/18/1945,Carousel,/wiki/Carousel_(musical),http://upload.wikimedia.org/wikipedia/en/8/88/Musical1945-Carousel-OriginalPoster.jpg,,Original Cast,
8/25/1945,Carousel,/wiki/Carousel_(musical),http://upload.wikimedia.org/wikipedia/en/8/88/Musical1945-Carousel-OriginalPoster.jpg,,Original Cast,
9/1/1945,Carousel,/wiki/Carousel_(musical),http://upload.wikimedia.org/wikipedia/en/8/88/Musical1945-Carousel-OriginalPoster.jpg,,Original Cast,
9/8/1945,Carousel,/wiki/Carousel_(musical),http://upload.wikimedia.org/wikipedia/en/8/88/Musical1945-Carousel-OriginalPoster.jpg,,Original Cast,
9/15/1945,Carousel,/wiki/Carousel_(musical),http://upload.wikimedia.org/wikipedia/en/8/88/Musical1945-Carousel-OriginalPoster.jpg,,Original Cast,
9/15/1945,Boogie Woogie,,http://www.bsnpubs.com/capitol/78-10/12.jpg,http://www.bsnpubs.com/capitol/78-10/01capitol1-149.html,Freddie Slack,/wiki/Freddie_Slack
9/22/1945,Boogie Woogie,,http://www.bsnpubs.com/capitol/78-10/12.jpg,http://www.bsnpubs.com/capitol/78-10/01capitol1-149.html,Freddie Slack,/wiki/Freddie_Slack
9/29/1945,Boogie Woogie,,http://www.bsnpubs.com/capitol/78-10/12.jpg,http://www.bsnpubs.com/capitol/78-10/01capitol1-149.html,Freddie Slack,/wiki/Freddie_Slack
10/6/1945,Boogie Woogie,,http://www.bsnpubs.com/capitol/78-10/12.jpg,http://www.bsnpubs.com/capitol/78-10/01capitol1-149.html,Freddie Slack,/wiki/Freddie_Slack
10/13/1945,Boogie Woogie,,http://www.bsnpubs.com/capitol/78-10/12.jpg,http://www.bsnpubs.com/capitol/78-10/01capitol1-149.html,Freddie Slack,/wiki/Freddie_Slack
10/20/1945,Selections from Going My Way,/wiki/Selections_from_Going_My_Way,http://upload.wikimedia.org/wikipedia/commons/5/51/Bing_Going_My_Way.jpg,,Bing Crosby,/wiki/Bing_Crosby
10/27/1945,Selections from Going My Way,/wiki/Selections_from_Going_My_Way,http://upload.wikimedia.org/wikipedia/commons/5/51/Bing_Going_My_Way.jpg,,Bing Crosby,/wiki/Bing_Crosby
11/3/1945,Selections from Going My Way,/wiki/Selections_from_Going_My_Way,http://upload.wikimedia.org/wikipedia/commons/5/51/Bing_Going_My_Way.jpg,,Bing Crosby,/wiki/Bing_Crosby
11/10/1945,Selections from Going My Way,/wiki/Selections_from_Going_My_Way,http://upload.wikimedia.org/wikipedia/commons/5/51/Bing_Going_My_Way.jpg,,Bing Crosby,/wiki/Bing_Crosby
